date,roi,value,index
2019-09-01,roi2,0.014309330780764995,EVI
2019-10-01,roi2,0.015315673145665901,EVI
2019-11-01,roi2,0.012520631778265621,EVI
2019-12-01,roi2,0.011250122720549052,EVI
2020-01-01,roi2,0.009949098020076597,EVI
2020-02-01,roi2,0.00970869400569953,EVI
2020-03-01,roi2,0.0021488363232819345,EVI
2020-04-01,roi2,0.01045446464424202,EVI
2020-05-01,roi2,0.011916939060391799,EVI
2020-06-01,roi2,0.01150979410967451,EVI
2020-07-01,roi2,0.012844150019101878,EVI
2020-08-01,roi2,0.013044535758326602,EVI
2020-09-01,roi2,0.014046050923868963,EVI
2020-10-01,roi2,0.01446269064719565,EVI
2020-11-01,roi2,0.014701604032597945,EVI
2020-12-01,roi2,0.015073303458581742,EVI
2021-01-01,roi2,0.016503812830250424,EVI
2021-02-01,roi2,0.01678274431660319,EVI
2021-03-01,roi2,0.01711431588914796,EVI
2021-04-01,roi2,0.01693538496362638,EVI
2021-05-01,roi2,0.01594774789209189,EVI
2021-06-01,roi2,0.01535045616327556,EVI
2021-07-01,roi2,0.013184956762033356,EVI
2021-08-01,roi2,0.013828606615215594,EVI
2021-09-01,roi2,0.01016760322367116,EVI
2021-10-01,roi2,0.008504156420113346,EVI
2021-11-01,roi2,0.011599801054401173,EVI
2021-12-01,roi2,0.01268409414417969,EVI
2022-01-01,roi2,0.01384290356508685,EVI
2022-02-01,roi2,0.014481875517202893,EVI
2022-03-01,roi2,0.016464807137403854,EVI
2022-04-01,roi2,0.014617809332013915,EVI
2022-05-01,roi2,0.013722853933326945,EVI
2022-06-01,roi2,0.013327459508787111,EVI
2022-07-01,roi2,0.012745401908437575,EVI
2022-08-01,roi2,0.01343781449053033,EVI
2022-09-01,roi2,0.012734069899532416,EVI
2022-10-01,roi2,0.010735802129386043,EVI
2022-11-01,roi2,0.009643785325847634,EVI
2022-12-01,roi2,0.009361934289548204,EVI
2023-01-01,roi2,0.009985771792006458,EVI
2023-02-01,roi2,0.010060602059581867,EVI
2023-03-01,roi2,0.010055022911318235,EVI
2023-04-01,roi2,0.011200667380025479,EVI
2023-05-01,roi2,0.012793138048661983,EVI
2023-06-01,roi2,0.016072354616340004,EVI
2023-07-01,roi2,0.016578640467810025,EVI
2023-08-01,roi2,0.015541010420137528,EVI
2023-09-01,roi2,0.015754354429371273,EVI
2023-10-01,roi2,0.016090724034363835,EVI
2023-11-01,roi2,0.01569235027284236,EVI
2023-12-01,roi2,0.015358371406348631,EVI
2024-01-01,roi2,0.015146541346100217,EVI
2024-02-01,roi2,0.014515815450299533,EVI
2024-03-01,roi2,0.013452670040565865,EVI
2024-04-01,roi2,0.01273218840400628,EVI
2024-05-01,roi2,0.014352572852382667,EVI
2024-06-01,roi2,0.014445308945015264,EVI
2024-07-01,roi2,0.014012137310453393,EVI
2024-08-01,roi2,0.014086874166370182,EVI
2017-01-01,roi1,0.6075798203479282,GNDVI
2017-02-01,roi1,0.6473260805538293,GNDVI
2017-03-01,roi1,0.6206574206212956,GNDVI
2017-04-01,roi1,0.6138797083685734,GNDVI
2017-05-01,roi1,0.6092436719821518,GNDVI
2017-06-01,roi1,0.6174910347972419,GNDVI
2017-07-01,roi1,0.6230884133077955,GNDVI
2017-08-01,roi1,0.6076905003439494,GNDVI
2017-09-01,roi1,0.5866434230980974,GNDVI
2017-10-01,roi1,0.6075021056410574,GNDVI
2017-11-01,roi1,0.6014877290958942,GNDVI
2017-12-01,roi1,0.6086178193321129,GNDVI
2018-01-01,roi1,0.5943754532760792,GNDVI
2018-02-01,roi1,0.5670699339637191,GNDVI
2018-03-01,roi1,0.6149996109314354,GNDVI
2018-04-01,roi1,0.6283269529663145,GNDVI
2018-05-01,roi1,0.6154481485309857,GNDVI
2018-06-01,roi1,0.5876925885036121,GNDVI
2018-07-01,roi1,0.5417874241394114,GNDVI
2018-08-01,roi1,0.5869088772943724,GNDVI
2018-09-01,roi1,0.49549356392500093,GNDVI
2018-10-01,roi1,0.6386100998521393,GNDVI
2018-11-01,roi1,0.6192887200004018,GNDVI
2018-12-01,roi1,0.6320674602900591,GNDVI
2019-01-01,roi1,0.6286757582858343,GNDVI
2019-02-01,roi1,0.6185896076886713,GNDVI
2019-03-01,roi1,0.5621158777501294,GNDVI
2019-04-01,roi1,0.6011917832832003,GNDVI
2019-05-01,roi1,0.6039352003530069,GNDVI
2019-06-01,roi1,0.6238482371887046,GNDVI
2019-07-01,roi1,0.61797546008675,GNDVI
2019-08-01,roi1,0.6556522546008325,GNDVI
2019-09-01,roi1,0.6264738621101761,GNDVI
2019-10-01,roi1,0.6027152289219316,GNDVI
2019-11-01,roi1,0.5971436705254941,GNDVI
2019-12-01,roi1,0.4295398829408783,GNDVI
